Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
69 Special,Http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,Gin,,,,,,,7-up,Lemon Juice,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",2 oz dry ,,,,,,,4 oz ,0.75 oz ,,,,,,,"69 Special: An intriguing and playful cocktail that combines fruity liqueurs and herbal flavors, resulting in a unique and enjoyable drink."
747,Http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot Glass,Kahlua,,,,,,,Bailey's Irish Cream,Frangelico,,,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",1/3 part ,,,,,,,1/3 part ,1/3 part ,,,,,,,"747: A smooth and sophisticated cocktail that mixes tequila, coffee liqueur, and cream, offering a luscious and indulgent sip."
9 1/2 Weeks,Http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail Glass,Absolut Citron,,,,,,,Orange Curacao,Strawberry Liqueur,Orange Juice,,,,,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,2 oz ,,,,,,,1/2 oz ,1 splash ,1 oz ,,,,,,"9 1/2 Weeks: A tantalizing and seductive cocktail with a mix of spirits and fruity notes, creating a captivating and memorable taste."
A Day At The Beach,Http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball Glass,Coconut Rum,,,,,,,Amaretto,Orange Juice,Grenadine,,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",1 oz ,,,,,,,1/2 oz ,4 oz ,1/2 oz ,,,,,,"A Day at the Beach: A tropical and fruity cocktail featuring rum, amaretto, and citrus flavors, evoking a delightful beachside experience."
A Furlong Too Late,Http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball Glass,Light Rum,,,,,,,Ginger Beer,Lemon Peel,,,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,2 oz ,,,,,,,4 oz ,1 twist of ,,,,,,,"A Furlong Too Late: A delightful and refreshing cocktail that combines gin, vermouth, and herbal notes, delivering a crisp and invigorating taste."
A Gilligan's Island,Http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins Glass,Vodka,,,,,,,Peach Schnapps,Orange Juice,Cranberry Juice,,,,,,"Shaken, not stirred!",1 oz ,,,,,,,1 oz ,3 oz ,3 oz ,,,,,,"A Gilligan's Island: A playful and tropical cocktail with a mix of fruit juices and rum, invoking a sense of island adventure and relaxation."
A Night In Old Mandalay,Http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball Glass,Light Rum,,,,,,,Añejo Rum,Orange Juice,Lemon Juice,Ginger Ale,Lemon Peel,,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",1 oz ,,,,,,,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of ,,,,"A Night In Old Mandalay: A sophisticated and exotic cocktail blending unique spirits and spices, transporting you to the mystique of Mandalay."
A Piece Of Ass,Http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball Glass,Amaretto,,,,,,,Southern Comfort,Ice,Sour Mix,,,,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,1 shot ,,,,,,,1 shot ," cubes
",,,,,,,"A Piece of Ass: A bold and intriguing cocktail featuring a blend of spirits and herbal liqueurs, offering a complex and memorable flavor profile."
A Splash Of Nash,Http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball Glass,Cranberry Juice,,,,,,,Soda Water,Midori Melon Liqueur,Creme De Banane,,,,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,2 oz ,,,,,,,2 oz ,0.5 oz ,0.5 oz ,,,,,,"A Splash of Nash: A refreshing and citrusy cocktail with a splash of ginger ale, adding effervescence to a delightful mix of spirits."
A True Amaretto Sour,Http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned Glass,Amaretto,,,,,,,Lemon,Ice,Maraschino Cherry,,,,,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",1 jigger ,,,,,,,Juice of 1/2 ,,,,,,,,"A True Amaretto Sour: A classic and timeless cocktail that showcases the delightful combination of amaretto liqueur, citrus juices, and a touch of sweetness."
A Midsummernight Dream,Http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,Vodka,,,,,,,Kirschwasser,Strawberry Liqueur,Strawberries,Schweppes Russchian,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",2 oz ,,,,,,,1 oz ,1 tsp ,5 ,,,,,,"A midsummernight dream: A dreamy and enchanting cocktail with a medley of fruity flavors, evoking the essence of a magical midsummer night."
A. J.,Http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail Glass,Applejack,,,,,,,Grapefruit Juice,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 oz ,,,,,,,,"A. J.: A fruity and vibrant cocktail that blends apple flavors with the refreshing kick of ginger ale, creating a crisp and invigorating drink."
A.d.m. (after Dinner Mint),Http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish Coffee Cup,White Creme De Menthe,,,,,,,Southern Comfort,Vodka,Hot Chocolate,,,,,,shake vigorously,1/2 oz ,,,,,,,3/4 oz ,1/2 oz ,Fill with ,,,,,,"A.D.M.: A delightful and refreshing cocktail reminiscent of a minty after-dinner treat, combining creamy liqueurs and a touch of mint for a cool finish."
A1,Http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail Glass,Gin,,,,,,,Grand Marnier,Lemon Juice,Grenadine,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1 3/4 shot ,,,,,,,1 Shot ,1/4 Shot,1/8 Shot,,,,,,"A1: A bold and savory cocktail featuring a combination of vodka and A1 steak sauce, creating a unique and robust flavor profile."
Abc,Http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot Glass,Amaretto,,,,,,,Bailey's Irish Cream,Cognac,,,,,,,Layered in a shot glass.,1/3 ,,,,,,,1/3 ,1/3 ,,,,,,,"ABC: A fruity and vibrant cocktail that combines apple, banana, and coconut flavors, offering a refreshing and tropical taste."
Acid,Http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot Glass,151 Proof Rum,,,,,,,Wild Turkey,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz Bacardi ,,,,,,,1 oz ,,,,,,,,"ACID: A bold and potent cocktail that blends a variety of spirits with citrus flavors and a hint of sweetness, delivering a tangy and invigorating sip."
At&t,Http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,Absolut Vodka,,,,,,,Gin,Tonic Water,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz ,,,,,,,1 oz ,4 oz ,,,,,,,"AT&T: A simple and refreshing cocktail that marries amaretto liqueur and tequila, offering a smooth and harmonious blend of flavors."
Abbey Cocktail,Http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail Glass,Gin,,,,,,,Orange Bitters,Orange,Cherry,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 1/2 oz ,,,,,,,1 dash ,Juice of 1/4 ,1 ,,,,,,"Abbey Cocktail: A classic and elegant cocktail that combines gin, orange liqueur, and a dash of bitters, resulting in a sophisticated and well-balanced drink."
Abbey Martini,Http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail Glass,Gin,,,,,,,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",2 shots ,,,,,,,1 shot ,1 shot ,3 dashes ,,,,,,"Abbey Martini: A modern twist on the classic martini, this cocktail features gin, orange liqueur, and a splash of citrus, delivering a crisp and refined taste."
Abilene,Http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball Glass,Dark Rum,,,,,,,Peach Nectar,Orange Juice,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,2 oz ,3 oz ,,,,,,,"Abilene: A sweet and tangy cocktail that combines whiskey, peach schnapps, and cranberry juice, creating a delightful and fruity flavor profile."
Absinthe #2,Http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,Vodka,,,,,,,Sugar,Anise,Licorice Root,Wormwood,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",1 bottle ,,,,,,,50 gr ,50 ml pure ,1 tblsp ,1 ,,,,,"Absinthe #2: A powerful and herbal cocktail that showcases the distinctive flavor of absinthe, complemented by a touch of sweetness and citrus."
Absolut Evergreen,Http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,Absolut Citron,,,,,,,Pisang Ambon,Ice,Bitter Lemon,,,,,,"Mix, pour over ice and top up with Bitter Lemon.",2/3 part ,,,,,,,1/3 part ," cubes
",,,,,,,"Absolut Evergreen: A refreshing and herbaceous cocktail that highlights the flavors of Absolut vodka and pine liqueur, evoking the essence of a forest."
Absolut Sex,Http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned Glass,Absolut Kurant,,,,,,,Midori Melon Liqueur,Cranberry Juice,Sprite,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",3/4 oz ,,,,,,,3/4 oz ,1 oz ,1 splash ,,,,,,"Absolut Sex: A playful and seductive cocktail that blends vodka, passion fruit liqueur, and citrus flavors, offering a tantalizing and exotic taste."
Absolut Stress #2,Http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,Absolut Vodka,,,,,,,Peach Schnapps,Coconut Liqueur,Cranberry Juice,Pineapple Juice,,,,,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz ,,,,,"Absolut Stress #2: A vibrant and fruity cocktail featuring a mix of vodka, peach schnapps, and cranberry juice, providing a refreshing and stress-relieving sip."
Absolut Summertime,Http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins Glass,Absolut Citron,,,,,,,Sweet And Sour,Sprite,Soda Water,Lemon,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1 1/2 oz ,,,,,,,3/4 oz ,1/2 oz ,3 oz ,1 slice ,,,,,"Absolut Summertime: A light and refreshing cocktail that combines vodka, lemonade, and a splash of cranberry juice, capturing the essence of a sunny summer day."
Absolut Limousine,Http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,Absolut Citron,,,,,,,Lime Juice,Ice,Tonic Water,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,2/3 ,,,,,,,1/3 ,Fill with ,Top it up with ,,,,,,"Absolut limousine: An elegant and sophisticated cocktail that marries vodka, orange liqueur, and a hint of cranberry juice, offering a smooth and luxurious taste."
Absolutely Cranberry Smash,Http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail Glass,Absolut Vodka,,,,,,,Cranberry Juice,Ginger Ale,Ice,,,,,,Stir ingredients together. Serve over ice.,2 oz ,,,,,,,4 oz ,2 oz ,Add ,,,,,,"Absolutely Cranberry Smash: A tangy and invigorating cocktail that muddles fresh cranberries with vodka and citrus flavors, creating a vibrant and refreshing sip."
Absolutely Fabulous,Http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne Flute,Vodka,,,,,,,Cranberry Juice,Champagne,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,1 shot ,,,,,,,2 shots ,Top up with,,,,,,,"Absolutely Fabulous: A delightful and whimsical cocktail featuring a mix of fruity liqueurs, cream, and a touch of chocolate, delivering a luscious and indulgent taste."
Absolutly Screwed Up,Http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins Glass,Absolut Citron,,,,,,,Orange Juice,Triple Sec,Ginger Ale,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",1 shot ,,,,,,,1 shot ,1 shot ,Fill to top ,,,,,,"Absolutly Screwed Up: A bold and potent cocktail that combines vodka, rum, and citrus flavors, offering a strong and invigorating sip."
Acapulco,Http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned Glass,Light Rum,,,,,,,Triple Sec,Lime Juice,Sugar,Egg White,Mint,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,1 1/2 oz ,,,,,,,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,"Acapulco: A tropical and refreshing cocktail that combines tequila, lime juice, and grapefruit soda, transporting you to the sunny beaches of Acapulco."
Ace,Http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,Gin,,,,,,,Grenadine,Heavy Cream,Milk,Egg White,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,2 shots ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,,,,,"Ace: A lively and effervescent cocktail that blends a variety of spirits with citrus and grenadine, creating a vibrant and bubbly drink."
Adam,Http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail Glass,Dark Rum,,,,,,,Lemon Juice,Grenadine,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1 tsp ,,,,,,,"Adam: A simple and classic cocktail that showcases the combination of gin and vermouth, resulting in a timeless and sophisticated flavor profile."
Adam & Eve,Http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail Glass,Gin,,,,,,,Cognac,Creme De Cassis,Fresh Lemon Juice,,,,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1 shot ,1 shot ,1/8 shot ,,,,,,"Adam & Eve: A fruity and romantic cocktail that marries apple and melon liqueurs, delivering a sweet and refreshing taste reminiscent of an orchard rendezvous."
Adam Bomb,Http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/coupette Glass,Rum,,,,,,,Vodka,Tequila,Triple Sec,Fruit,Ice,Salt,Fruit Juice,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",1 part ,,,,,,,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,"Adam Bomb: A powerful and explosive cocktail that combines multiple spirits and fruit juices, offering a bold and intense flavor experience."
Adam Sunrise,Http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,Vodka,,,,,,,Lemonade,Water,Sugar,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",1/2 ,,,,,,,1/2 can ,1/2 ,10 tsp ,,,,,,"Adam Sunrise: A vibrant and invigorating cocktail featuring a mix of vodka, orange juice, and grenadine, creating a stunning sunrise-inspired drink."
Addington,Http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Dry Vermouth,Soda Water,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,2 shots ,,,,,,,1 shot ,"Top up with
",,,,,,,"Addington: A refreshing cocktail with a combination of flavors, perfect for a sunny day."
Addison,Http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,Gin,,,,,,,Vermouth,,,,,,,,Shake together all the ingredients and strain into a cold glass.,1 1/2 shot ,,,,,,,1 1/2 shot ,,,,,,,,Addison: A classic cocktail that strikes a balance between sweet and tangy flavors.
Addison Special,Http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned Glass,Vodka,,,,,,,Grenadine,Orange Juice,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,1 shot ,,,,,,,1 tblsp ,Fill with ,,,,,,,"Addison Special: A unique twist on a classic cocktail, with a special ingredient that sets it apart."
Adios Amigos Cocktail,Http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,Rum,,,,,,,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,Adios Amigos Cocktail: A vibrant and potent cocktail that will make you say goodbye to your inhibitions.
Adonis Cocktail,Http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Sherry,Orange Bitters,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",3/4 oz ,,,,,,,1 1/2 oz dry ,1 dash ,,,,,,,Adonis Cocktail: A sophisticated cocktail featuring a blend of fortified wine and aromatic ingredients.
Affair,Http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball Glass,Strawberry Schnapps,,,,,,,Orange Juice,Cranberry Juice,Club Soda,,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",2 oz ,,,,,,,2 oz ,2 oz ,,,,,,,Affair: A tantalizing cocktail that combines flavors in a way that will leave you wanting more.
Affinity,Http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail Glass,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Orange Bitters,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1 oz ,1 oz ,2 dashes ,,,,,,"Affinity: A cocktail with a complex flavor profile, balancing sweet, herbal, and smoky notes."
After Dinner Cocktail,Http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail Glass,Apricot Brandy,,,,,,,Triple Sec,Lime,Lime,,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,1 oz ,,,,,,,1 oz ,Juice of 1 ,1 ,,,,,,After Dinner Cocktail: A smooth and satisfying cocktail that is the perfect digestif after a meal.
After Five,Http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot Glass,Peppermint Schnapps,,,,,,,Kahlua,Bailey's Irish Cream,,,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",,,,,,,,,,,,,,,,"After Five: A delightful cocktail that transitions seamlessly from day to night, offering a mix of flavors to savor."
After Supper Cocktail,Http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail Glass,Triple Sec,,,,,,,Apricot Brandy,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1/2 tsp ,,,,,,,After Supper Cocktail: A soothing cocktail to unwind with after a satisfying meal.
After Sex,Http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball Glass,Vodka,,,,,,,Creme De Banane,Orange Juice,,,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,2 cl ,,,,,,,1 cl ,,,,,,,,After sex: A seductive cocktail that blends flavors to create a sensual experience.
Afterglow,Http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Grenadine,,,,,,,Orange Juice,Pineapple Juice,,,,,,,Mix. Serve over ice.,1 part ,,,,,,,4 parts ,4 parts ,,,,,,,"Afterglow: A visually stunning cocktail with a tropical flair, radiating vibrant colors."
Afternoon,Http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,Kahlua,,,,,,,Bailey's Irish Cream,Frangelico,Coffee,Cream,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",1 cl ,,,,,,,1 cl ,1 1/2 ,4 cl hot ,,,,,,Afternoon: A light and refreshing cocktail that is perfect for enjoying on a lazy afternoon.
